LabID,ProfessorID,LabName,LabDescription,LabWebsite,LabKeywordResearchField,LabAddress,LabEmail,LabPhone,LabSize
47,64,WEIRD,"Welcome to the WEIRD (Washington Embodied Intelligence and Robotics Development) lab website! We are interested in robotics problems, and currently we are thinking deeply about reinforcement learning algorithms to enable real-world robotic manipulation tasks in the home. Our interests also span computer vision, language modeling, human-robot interaction and broader notions of robustness and reliability in machine learning systems. We are affiliated with UW Robotics and the Paul G. Allen School for Computer Science and Engineering at the University of Washington.",https://weirdlab.cs.washington.edu/,"robotics, computer vision, language modeling, human-robot interaction",NULL,abhgupta@cs.washington.edu,NULL,21
48,65,Makeability LaB,"We design, build, and evaluate new interactive tools and techniques to address pressing societal challenges. Makeability refers both to how our technological innovations make new abilities possible for humans as well as our educational mission to help students gain new abilities as they learn and grow through research, invention, and human-centered design.",https://makeabilitylab.cs.washington.edu/,HCI,NULL,NULL,NULL,27
49,66,UW Robotics and State Estimation Lab,"The RSE-Lab was established in 2001. We are interested in the development of computing systems that interact with the physical world in an intelligent way. To investigate such systems, we focus on problems in robotics and activity recognition. We develop rich yet efficient techniques for perception and control in mobile robot navigation, map building, collaboration, and manipulation. We also develop state estimation and machine learning approaches for areas such as object recognition and tracking, human robot interaction, and human activity recognition.",http://rse-lab.cs.washington.edu/?,"Robotics, object recognition and tracking, human robot interaction, and human activity recognition",NULL,NULL,NULL,11
50,67,Behavioral Data Science Lab,"We are a research group at the Paul G. Allen School of Computer Science of Engineering. Our aim is to explore and understand behavior through the lens of data science.
 The Behavioral Data Science Group develops computational methods that leverage large-scale behavioral data to extract actionable insights about our lives, health and happiness through combining techniques from data science, social network analysis, and natural language processing. We currently work on research related to mental health, misinformation online, scientific reproducibility, and informing the COVID-19 response.",https://behavioral-data.github.io/,"data science, social network analysis, and natural language processing",NULL,NULL,NULL,10
51,68,UW RAIVN Lab,"The Reasoning, AI, and VisioN (RAIVN) Lab in the Allen School at the University of Washington is directed by Prof. Ali Farhadi and Prof. Ranjay Krishna.
 Our research is at the intersection of Computer Vision, Machine Learning, Natural Language Processing and Robotics and is targetted towards helping computers improve their perception and reasoning.
 RAIVN Lab's famous research break-throughs include YOLO, XNOR-Net, Visual Genome, AI2-THOR, VCR, and BiDAF among many other amazing projects.",https://raivn.cs.washington.edu/,"omputer Vision, Machine Learning, Natural Language Processing and Robotics",NULL,NULL,NULL,20
52,69,Robot Learning Lab @UW,"The Robot Learning Laboratory at the University of Washington works on foundational research in machine learning, artificial intelligence and robotics. Our goal is to develop intelligent robotic systems that can perceive, plan, and act in complex environments and improve performance with experience.",https://robotlearning.cs.washington.edu/,"machine learning, artificial intelligence and robotics",NULL,NULL,NULL,22
53,70,Bioinformatics and Computational Biology,"The field of bioinformatics and computational biology is a rapidly emerging area with the potential to advance scientific discovery to the degree required to solve many of the challenging biological problems of the 21st century. WSU has a rich history of fostering the kind of interdisciplinary science that is needed in such an endeavor. WSU computer scientists, in collaboration with leading plant scientists and microbiologists both at WSU and world-wide, are working on projects that include genome discovery for economically important plant crops, vaccine development, decoding the evolutionary history of microbes, and understanding the functional basis for genes and proteins involved in bioenergy and renewables. Recent and ongoing projects include",https://bcb.eecs.wsu.edu/?,bioinformatics,NULL,NULL,NULL,10
54,71,"Mobile, Pervasive and Sensor Computing Group","Technology succeeds when it is for the people. People centric sensing plays a major role in this context.
 The explosion of sensors and mobile phones and their interaction with human life funnel a phenomenal amount of data through pervasive computing environments. This data carries a lot of meaningful but hidden information about the people and their environments. The MPSC group at WSU analyze those data in an efficient manner, uncover those hidden patterns, gauge the activity, behavior and interaction of the users and present this to the users, society or application to understand the human and system behavior better.
 Analyzing these data trails can support different applications in a novel way. The applications may vary from personal and community healthcare (smart home independent living, fitness and exercising), green computing (building energy management, environment monitoring), urban sensing (intelligent transportation system, natural resource management), marketing industry (advertisement, consumer shopping habits) and after all social networking.
 We particularly look into sensor data processing and data quality, sensor communications and energy management, sensor-based data mining and machine learning techniques, and intelligent decision making process to observe and shape the user life. We do research and development for the people centric applications and systems which help people to live their lives better.",https://eecs.wsu.edu/~nroy/mpsc.html,"ensor data processing and data quality, sensor communications and energy management, sensor-based data mining and machine learning","EME 127
 102, Spokane Street
 Pullman, Washington 99164-2752",NULL,509-335-1360,5
55,72,ROMA Lab,"ROMA (RObust MAchine learning) Lab focuses on the robustness of machine learning algorithms and their applications to computer vision. We have particular research interests in conformal prediction algorithms for uncertainty quantification, risk-aware learning algorithms, statistical machine learning and stochastic optimization algorithm design and analysis for machine learning problems.",https://www.yanyan.pro/group.html,machine learning algorithms and their applications to computer vision,NULL,yan.yan1@wsu.edu,NULL,4
56,73,COMPUTER-AIDED DESIGN FOR EMERGING TECHNOLOGIES AND SYSTEMS,"We are looking for enthusiastic and self-motivated Ph.D. candidates. Please contact us (daehyun@eecs.wsu.edu) if you are interested in our research area. The candidate should be familiar with logic circuits, digital system design, computer architecture, VLSI, C/C++, and data structures & algorithms.",https://eecs.wsu.edu/~daehyun/index.html,"digital system design, computer architecture",EME 504,daehyun@eecs.wsu.edu,509-335-3067,4
57,74,Scalable Algorithms for Data Science Laboratory (SCADS),"The Scalable Algorithms for Data Science Laboratory (SCADS) conducts research at the intersection of algorithms, data analytics, and computational science and engineering. Our activities interact with a variety of areas including combinatorial scientific computing, network science, data mining and machine learning, and high-performance computing. Many of these areas do overlap with one another. Exploring their interface — with a focus on the synergetic application of novel combinatorial and numerical algorithms to develop scalable and robust methods for analysis and management of complex datasets — forms the core of our research goal. We invite you to browse through the Research page of this site for an overview of our current focus areas and projects (hovering over the Research tab will show you a list of the areas).
 Our current research at SCADS is supported by NSF CAREER Award IIS-1553528 (2016–2022) and by the Voiland College of Engineering and Architecture/School of EECS. SCADS builds on prior research supported by various grants from NSF and the Department of Energy.",https://scads.eecs.wsu.edu/?,"network science, data mining and machine learning, and high-performance computing","EME B43
 355 Spokane St, EME B43, School of EECS
 Washington State University",assefaw.gebremedhin@wsu.edu,509-335-3952,13
